Date,kWh,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Press_avg,Precipit
2017-01-01,0.5083333333333333,67.5,63.8,88.1,2.7,29.7,0.3
2017-01-02,0.3618333333333333,68.8,60.2,76.1,7.9,29.9,0.0
2017-01-03,0.6588333333333333,73.6,54.4,55.5,11.2,29.9,0.0
2017-01-04,0.4741666666666666,70.6,62.7,77.0,12.9,29.8,0.0
2017-01-05,0.6934166666666667,70.7,49.0,50.6,7.1,29.9,0.0
2017-01-06,0.906625,77.0,70.7,81.3,9.3,29.9,0.18
2017-01-07,0.6983333333333334,84.9,74.0,71.7,7.4,29.9,0.0
2017-01-08,0.6463333333333333,83.2,70.7,67.1,7.3,29.9,0.0
2017-01-09,1.2824166666666665,80.7,69.5,70.4,4.3,29.9,0.0
2017-01-10,1.2665833333333334,77.9,64.9,66.3,4.1,29.8,0.0
2017-01-11,0.49066666666666664,72.9,69.6,90.1,6.2,29.8,0.7
2017-01-12,0.3808333333333333,59.7,49.8,72.6,2.2,30.0,0.0
2017-01-13,0.596375,70.4,66.2,87.2,11.2,30.2,0.11
2017-01-14,0.78775,67.7,64.3,89.6,8.6,30.2,0.07
2017-01-15,0.574375,67.8,63.8,87.3,13.5,30.0,0.0
2017-01-16,0.47937499999999994,71.7,65.2,81.1,11.3,29.9,0.16
2017-01-17,0.3965833333333333,62.9,60.9,93.3,9.0,29.9,0.17
2017-01-18,0.38825,63.5,61.3,92.8,6.1,29.9,1.81
2017-01-19,0.38233333333333336,59.4,56.9,91.4,4.6,29.7,0.79
2017-01-20,0.38366666666666666,65.1,61.2,88.0,6.5,29.6,0.42
2017-01-21,0.43241666666666667,66.5,61.0,84.2,5.6,29.5,0.95
2017-01-22,0.40279166666666666,61.8,42.9,51.4,14.9,29.5,0.05
2017-01-23,0.39641666666666664,58.8,37.3,47.6,7.0,29.8,0.0
2017-01-24,0.3546666666666667,67.3,57.6,72.2,11.1,29.7,0.0
2017-01-25,0.41683333333333333,67.3,49.0,58.1,10.7,29.7,0.0
2017-01-26,0.37599999999999995,50.0,30.0,47.8,8.4,30.1,0.0
2017-01-27,0.45087499999999997,48.1,25.8,44.4,6.0,30.2,0.0
2017-01-28,0.5064583333333333,52.0,27.6,40.1,9.1,30.2,0.0
2017-01-29,0.4728333333333334,53.6,31.0,45.4,8.2,30.1,0.0
2017-01-30,0.43249999999999994,60.3,34.3,43.6,6.1,30.1,0.0
2017-01-31,0.3525,63.4,48.5,62.5,6.2,30.0,0.0
2017-02-01,0.45941666666666664,66.9,62.2,86.1,8.3,29.7,0.07
2017-02-02,0.4053333333333333,66.3,56.9,73.2,8.1,30.0,0.0
2017-02-03,0.36270833333333335,57.6,26.2,31.5,9.8,30.2,0.0
2017-02-04,0.7712500000000001,74.3,68.2,81.5,12.9,29.6,0.07
2017-02-05,1.7091666666666667,74.1,59.1,62.6,10.4,29.8,0.0
2017-02-06,0.9126666666666666,78.5,72.8,82.9,7.1,29.8,0.07
2017-02-07,0.7098749999999999,84.9,74.6,72.2,8.4,30.0,0.0
2017-02-08,0.3845416666666666,79.8,73.9,82.8,8.4,29.9,0.0
2017-02-09,1.3468333333333333,81.2,70.2,72.3,3.0,29.9,0.0
2017-02-10,0.9785,78.8,72.3,81.8,9.3,29.8,0.0
2017-02-11,0.636625,78.5,73.0,84.5,6.9,29.9,0.0
2017-02-12,0.372875,60.0,54.5,85.1,2.4,30.0,0.0
2017-02-13,0.601125,69.0,62.4,80.7,10.2,30.0,0.0
2017-02-14,0.4073333333333333,61.4,56.2,83.5,14.1,29.7,0.0
2017-02-15,0.35770833333333335,53.6,37.2,55.4,11.6,30.0,0.78
2017-02-16,0.44787499999999997,54.7,36.0,54.4,2.7,30.0,0.0
2017-02-17,0.45249999999999996,58.3,54.4,87.2,8.7,29.8,0.0
2017-02-18,0.6284583333333333,68.4,61.6,81.5,7.0,29.7,0.19
2017-02-19,0.7105,71.6,67.6,87.4,14.0,29.8,0.0
2017-02-20,0.5898333333333333,63.0,61.0,92.8,8.3,29.9,0.0
2017-02-21,0.435875,62.4,54.2,77.8,5.9,29.8,1.39
2017-02-22,0.36345833333333327,66.8,49.0,56.0,4.4,29.7,0.0
2017-02-23,0.3977916666666667,67.2,56.0,71.0,9.0,29.6,0.0
2017-02-24,0.47608333333333336,69.5,55.4,67.0,9.6,29.6,0.0
2017-02-25,0.41520833333333335,56.8,33.4,43.8,8.6,30.0,0.0
2017-02-26,0.45970833333333333,62.6,53.4,72.7,12.2,29.9,0.0
2017-02-27,0.3875416666666667,73.2,67.3,82.3,8.6,29.9,0.01
2017-02-28,0.6202916666666667,76.5,68.0,75.7,12.1,29.8,0.0
2017-03-01,0.42604166666666665,61.9,46.3,61.1,8.6,29.9,1.22
2017-03-02,0.3632916666666666,54.4,43.2,67.0,12.2,30.2,0.0
2017-03-03,0.4068333333333333,58.4,33.1,42.0,9.5,30.4,0.0
2017-03-04,0.7294166666666667,71.9,52.9,55.1,7.3,29.6,0.02
2017-03-05,1.6790833333333335,77.4,69.7,77.6,12.5,29.7,0.0
2017-03-06,1.20425,79.7,73.5,82.4,6.2,29.8,0.03
2017-03-07,0.8096666666666666,85.7,74.3,70.1,8.1,29.9,0.0
2017-03-08,0.4807083333333333,79.6,73.1,81.2,5.8,29.9,0.09
2017-03-09,1.446625,80.7,70.9,74.1,3.5,29.9,0.0
2017-03-10,0.9535416666666666,78.5,76.1,92.2,9.2,30.0,0.01
2017-03-11,0.827875,79.3,73.4,83.1,6.0,29.9,0.0
2017-03-12,0.40404166666666663,63.0,62.4,97.8,6.5,30.0,0.0
2017-03-13,0.37070833333333336,57.3,48.8,74.3,7.1,30.0,0.0
2017-03-14,0.38158333333333333,55.3,38.4,55.8,5.4,30.1,0.0
2017-03-15,0.351625,56.3,48.0,74.9,8.2,30.2,0.0
2017-03-16,0.34862499999999996,65.0,58.3,79.1,11.7,30.1,0.0
2017-03-17,0.36433333333333334,71.3,61.5,72.3,11.8,30.1,0.0
2017-03-18,0.7714166666666666,69.9,63.0,80.8,4.5,30.1,0.0
2017-03-19,0.6214166666666666,72.8,63.8,75.3,6.3,30.1,0.0
2017-03-20,0.8875000000000001,73.5,61.8,70.6,7.3,30.0,0.0
2017-03-21,0.530875,73.7,58.8,64.1,7.1,30.0,0.0
2017-03-22,0.7019166666666666,71.7,61.6,74.5,5.9,30.0,0.0
2017-03-23,0.605875,72.2,60.0,70.4,11.1,30.0,0.0
2017-03-24,0.5196666666666666,72.6,64.0,74.8,15.7,29.9,0.0
2017-03-25,0.5599999999999999,71.4,57.7,64.6,6.2,29.9,1.28
2017-03-26,0.6950833333333333,72.2,64.1,77.3,9.3,29.8,0.0
2017-03-27,0.8120416666666667,75.7,67.2,76.3,8.1,29.8,0.0
2017-03-28,0.8602500000000001,74.2,68.0,82.0,12.2,29.7,0.0
2017-03-29,0.8344583333333334,72.3,67.6,85.3,8.0,29.7,0.0
2017-03-30,0.5592916666666666,66.5,52.9,65.1,6.2,29.7,1.68
2017-03-31,0.5154166666666667,70.2,54.0,61.0,8.8,29.7,0.0
2017-04-01,0.42966666666666664,46.5,38.7,74.7,8.1,30.0,0.0
2017-04-02,0.409,54.4,43.8,68.1,9.9,30.1,0.0
2017-04-03,0.44325,58.7,50.7,75.1,9.0,30.3,0.0
2017-04-04,0.775125,74.6,60.2,65.8,9.1,29.6,0.0
2017-04-05,0.40454166666666663,66.5,44.4,47.9,15.5,29.9,0.2
2017-04-06,0.9925833333333333,75.1,70.7,86.9,6.5,29.7,0.28
2017-04-07,1.1326666666666665,86.3,74.3,69.0,6.3,29.9,0.0
2017-04-08,0.6717916666666667,81.0,74.4,81.3,6.0,29.9,0.03
2017-04-09,1.2918749999999999,80.9,71.5,74.5,4.4,29.9,0.0
2017-04-10,1.2433333333333334,79.1,70.2,75.5,9.2,30.0,2.12
2017-04-11,0.9430833333333334,75.7,71.4,88.2,4.2,29.9,0.0
2017-04-12,0.394625,72.7,69.6,90.3,8.8,29.8,0.55
2017-04-13,0.7975833333333333,71.6,63.2,77.7,7.7,30.0,0.19
2017-04-14,0.6028749999999999,71.0,62.4,76.3,8.4,30.0,0.0
2017-04-15,0.6742916666666666,71.5,64.1,79.8,5.9,29.9,0.0
2017-04-16,0.9880416666666667,75.7,66.9,75.5,8.6,29.9,0.0
2017-04-17,0.5998333333333333,72.6,66.2,81.3,7.0,29.9,0.0
2017-04-18,0.622125,70.5,65.8,85.7,8.3,29.9,0.23
2017-04-19,0.7300833333333333,73.6,67.4,82.0,9.0,29.9,0.28
2017-04-20,0.9402916666666666,76.2,67.5,75.9,8.1,29.9,0.01
2017-04-21,0.8680416666666667,75.5,67.5,78.3,7.3,29.8,0.0
2017-04-22,0.9897083333333333,71.1,62.3,74.5,10.8,29.8,0.0
2017-04-23,0.367875,63.0,45.8,54.5,11.8,29.9,0.0
2017-04-24,0.39258333333333334,67.3,50.0,58.0,4.1,29.8,0.0
2017-04-25,0.679375,74.9,64.2,69.3,12.5,29.5,0.0
2017-04-26,0.9647916666666667,79.5,66.3,65.2,12.8,29.4,0.0
2017-04-27,0.6396666666666667,68.0,52.7,60.7,9.4,29.6,0.0
2017-04-28,1.148875,81.4,71.6,72.8,15.8,29.5,0.0
2017-04-29,1.7992083333333333,81.0,73.8,78.7,18.6,29.5,0.0
2017-04-30,0.5266666666666667,65.8,48.0,55.4,10.2,29.8,0.01
2017-05-01,0.4283333333333333,50.4,45.8,84.1,7.0,29.8,0.0
2017-05-02,0.56175,70.3,64.9,83.8,9.8,30.0,0.03
2017-05-03,0.42812500000000003,64.6,62.2,91.7,12.5,30.0,0.09
2017-05-04,0.5220833333333333,68.0,49.5,54.6,12.7,29.8,0.0
2017-05-05,0.9003333333333333,68.6,44.4,45.3,8.2,29.9,0.0
2017-05-06,0.7454583333333332,74.8,70.8,87.6,5.1,29.6,0.92
2017-05-07,1.6032916666666666,85.8,74.3,69.2,7.7,29.9,0.0
2017-05-08,0.5005000000000001,81.8,74.8,80.3,6.1,29.9,1.23
2017-05-09,1.0687083333333334,81.6,72.0,74.5,2.9,29.9,0.0
2017-05-10,1.1196249999999999,76.8,67.2,74.3,5.6,29.9,0.0
2017-05-11,1.0980416666666668,78.1,72.1,83.6,7.8,29.9,0.0
2017-05-12,0.42375,62.6,57.2,83.7,12.2,30.0,0.29
2017-05-13,1.3607500000000001,74.7,59.9,61.6,8.3,29.8,0.0
2017-05-14,1.04925,75.1,63.0,67.8,5.4,29.8,0.0
2017-05-15,0.8894583333333334,75.1,63.8,70.1,8.5,29.8,0.0
2017-05-16,0.9702083333333333,77.8,64.8,65.8,14.8,29.8,0.0
2017-05-17,0.8495833333333334,80.0,68.7,69.0,14.0,29.7,0.0
2017-05-18,1.0879583333333334,81.9,71.1,70.8,15.5,29.7,0.0
2017-05-19,1.1747083333333335,81.9,72.4,73.5,16.0,29.7,0.0
2017-05-20,1.8626666666666667,82.3,72.8,73.9,8.3,29.8,0.01
2017-05-21,1.1094583333333334,76.8,71.2,83.3,8.1,29.9,0.0
2017-05-22,0.6350833333333333,71.7,68.2,88.3,9.8,29.8,0.04
2017-05-23,0.6047083333333333,72.3,62.7,73.5,8.8,29.7,0.19
2017-05-24,0.5177916666666667,70.8,51.2,55.0,9.1,29.7,0.02
2017-05-25,0.766,77.3,58.9,55.5,10.5,29.7,0.0
2017-05-26,0.925375,80.8,71.5,74.0,11.0,29.8,0.0
2017-05-27,1.25,84.8,73.8,70.4,11.1,29.8,0.0
2017-05-28,1.0914166666666667,82.2,73.3,74.8,11.7,29.8,0.0
2017-05-29,0.7374999999999999,74.0,68.5,83.4,7.1,29.9,1.47
2017-05-30,0.854375,78.3,69.5,75.7,7.9,29.9,0.0
2017-05-31,1.0030416666666666,77.4,70.2,79.5,6.6,29.9,0.0
2017-06-01,0.5735,35.1,28.7,77.8,15.8,30.1,0.0
2017-06-02,0.4200833333333333,72.5,65.5,79.0,10.8,29.9,0.02
2017-06-03,0.45216666666666666,72.8,67.5,83.6,13.6,29.9,0.95
2017-06-04,0.33149999999999996,64.6,40.5,46.2,3.1,30.1,0.0
2017-06-05,0.9775833333333334,70.8,49.0,50.7,3.9,29.9,0.0
2017-06-06,1.0802916666666667,78.5,70.7,78.3,8.4,29.6,1.67
2017-06-07,1.5626666666666666,85.5,73.6,69.4,6.3,30.0,0.0
2017-06-08,0.524375,84.1,76.4,78.1,6.3,29.8,0.39
2017-06-09,1.01125,75.3,62.3,67.7,10.1,29.9,0.06
2017-06-10,0.948125,75.7,65.4,72.9,4.2,29.8,0.0
2017-06-11,0.8253750000000001,79.2,71.0,77.7,7.2,29.9,0.0
2017-06-12,0.429375,44.9,40.7,85.6,11.5,30.2,0.09
2017-06-13,1.094375,82.8,75.0,77.6,13.5,29.8,0.02
2017-06-14,1.2254166666666666,85.0,73.6,70.1,10.1,29.8,0.07
2017-06-15,1.6231666666666669,85.1,73.2,69.0,7.2,29.8,0.0
2017-06-16,1.10125,85.3,72.2,66.7,8.3,29.8,0.0
2017-06-17,1.0842083333333334,84.6,73.2,69.4,9.1,29.7,0.0
2017-06-18,1.2961666666666667,85.9,73.4,67.5,9.4,29.7,0.0
2017-06-19,1.3180833333333333,85.7,73.0,68.3,4.2,29.8,0.0
2017-06-20,1.280375,84.9,72.4,67.6,9.5,29.8,0.0
2017-06-21,0.9692916666666666,80.1,71.1,74.9,15.7,29.6,0.0
2017-06-22,0.8852916666666667,79.9,74.1,83.0,9.8,29.5,0.22
2017-06-23,1.2817916666666667,85.6,75.1,72.0,9.3,29.7,0.07
2017-06-24,0.73775,78.5,74.3,87.2,6.5,29.9,0.38
2017-06-25,0.9184166666666668,78.0,72.8,84.6,8.2,30.0,2.34
2017-06-26,0.9078750000000001,79.2,71.1,77.1,8.3,29.9,0.21
2017-06-27,0.7692916666666667,78.5,72.6,82.7,7.8,29.9,0.0
2017-06-28,1.0905,80.0,72.4,78.6,10.3,29.8,0.48
2017-06-29,0.6077083333333334,81.1,74.7,81.3,8.1,29.8,0.0
2017-06-30,0.6625833333333333,85.1,76.1,75.3,10.8,29.8,0.17
2017-07-01,0.7753333333333333,29.9,15.2,57.1,10.6,30.5,0.27
2017-07-02,0.48216666666666663,75.2,61.4,65.2,8.2,29.7,0.0
2017-07-03,0.45366666666666666,71.6,63.3,75.7,9.0,30.0,0.24
2017-07-04,0.43695833333333334,67.4,47.5,52.9,4.5,30.1,0.0
2017-07-05,0.7662083333333333,71.9,56.6,61.7,7.3,29.9,0.0
2017-07-06,1.21825,82.1,67.5,64.0,7.7,29.8,0.15
2017-07-07,1.3282916666666666,85.0,73.0,68.7,4.7,29.9,0.0
2017-07-08,0.3781666666666667,79.5,75.9,88.8,6.0,29.8,0.1
2017-07-09,0.7708750000000001,72.1,56.4,60.2,6.4,30.0,0.0
2017-07-10,1.02125,78.2,71.1,79.4,4.3,29.6,0.0
2017-07-11,0.7457916666666667,77.1,69.2,78.3,6.4,29.9,0.0
2017-07-12,0.6031666666666667,42.2,38.1,85.2,11.2,30.2,0.36
2017-07-13,1.404,83.6,74.5,75.2,5.0,30.0,0.02
2017-07-14,1.33875,85.1,73.8,71.0,4.4,30.0,0.01
2017-07-15,1.0290416666666666,79.7,73.8,83.4,6.7,29.9,0.0
2017-07-16,1.3622083333333332,80.6,72.3,77.5,4.6,29.8,1.2
2017-07-17,1.1207083333333332,83.9,74.7,74.5,4.5,29.8,0.0
2017-07-18,1.253625,83.8,75.0,75.3,3.9,29.9,0.0
2017-07-19,1.4691666666666665,83.8,74.3,74.2,3.8,30.0,0.68
2017-07-20,1.5384583333333335,86.7,74.2,68.0,4.8,29.9,0.0
2017-07-21,0.985375,85.3,74.5,71.1,5.6,29.9,0.0
2017-07-22,0.6599166666666666,81.7,74.1,79.2,6.6,29.8,0.5
2017-07-23,0.7069583333333332,85.0,74.5,71.5,6.8,29.8,0.9
2017-07-24,0.6969583333333333,86.7,72.9,65.4,7.2,29.9,0.17
2017-07-25,0.6645416666666667,86.0,74.3,69.0,7.9,29.9,0.0
2017-07-26,0.7138749999999999,86.1,73.2,66.6,7.2,29.9,0.0
2017-07-27,0.8087916666666667,86.3,73.3,66.8,5.5,29.9,0.0
2017-07-28,0.9332916666666667,87.8,74.5,66.9,6.0,29.8,0.0
2017-07-29,0.9247916666666667,88.3,74.5,65.4,7.3,29.8,0.0
2017-07-30,0.8197916666666667,86.4,73.5,66.6,6.8,29.8,0.0
2017-07-31,0.6887500000000001,81.9,65.5,59.0,6.7,29.9,0.0
2017-08-01,0.65275,37.3,23.7,60.8,5.8,30.5,0.0
2017-08-02,0.6535416666666667,74.2,58.6,62.6,10.7,29.7,0.0
2017-08-03,0.351375,65.2,52.5,65.9,9.4,30.1,0.02
2017-08-04,0.44887499999999997,69.4,53.6,60.1,9.3,29.9,0.0
2017-08-05,0.7578333333333332,72.6,60.3,67.0,10.1,29.9,0.0
2017-08-06,1.099875,78.3,61.6,58.5,6.1,29.8,0.0
2017-08-07,1.6901666666666666,84.8,72.0,67.5,4.5,29.9,0.0
2017-08-08,0.3845416666666666,77.4,73.5,88.0,5.0,29.8,5.71
2017-08-09,0.805875,72.7,57.5,61.3,6.5,30.0,0.0
2017-08-10,1.8407916666666668,82.2,71.4,71.9,2.9,29.6,0.0
2017-08-11,0.444,58.8,53.7,83.6,11.1,30.0,0.0
2017-08-12,0.5805833333333333,34.6,29.1,82.5,6.5,30.1,0.51
2017-08-13,1.3074166666666667,87.0,75.0,69.0,7.0,29.8,0.0
2017-08-14,1.4442916666666668,87.4,74.1,66.1,8.3,29.8,0.0
2017-08-15,1.3334166666666667,87.4,74.1,66.1,7.8,29.8,0.0
2017-08-16,1.4496666666666667,87.6,76.0,69.2,9.0,29.8,0.0
2017-08-17,1.4700416666666667,88.4,73.8,64.0,7.3,29.9,0.0
2017-08-18,1.5659583333333333,87.5,75.2,68.5,5.8,29.9,0.0
2017-08-19,1.958875,87.6,74.7,67.4,4.8,29.9,0.0
2017-08-20,1.9248333333333332,86.4,73.9,68.4,5.3,29.9,0.0
2017-08-21,1.5256666666666667,84.2,74.8,74.9,6.0,29.9,0.0
2017-08-22,1.5205833333333334,85.0,73.0,69.7,3.8,29.9,0.0
2017-08-23,1.3139583333333333,84.5,73.4,70.5,5.4,29.8,0.0
2017-08-24,1.3066250000000001,83.0,73.2,74.0,7.6,29.8,0.15
2017-08-25,1.1915,77.7,73.7,87.5,14.7,29.7,0.0
2017-08-26,0.7837916666666667,77.3,75.1,92.6,18.4,29.7,0.89
2017-08-27,0.8532083333333333,75.4,73.8,95.0,15.3,29.6,13.43
2017-08-28,0.8127916666666666,72.4,70.0,92.1,23.9,29.6,10.75
2017-08-29,0.9631666666666666,72.6,69.7,90.4,21.9,29.6,5.28
2017-08-30,1.0804583333333333,78.2,67.8,71.1,14.8,29.6,0.91
2017-08-31,1.1465833333333333,81.4,66.8,63.0,7.0,29.8,0.0
2017-09-01,0.41170833333333334,57.3,49.8,76.3,11.0,30.2,0.0
2017-09-02,0.3802083333333333,58.9,37.5,46.7,8.6,30.1,0.0
2017-09-03,0.4730833333333333,72.0,66.3,82.8,9.3,30.0,0.0
2017-09-04,0.8039166666666667,73.1,60.3,65.1,12.8,29.9,0.0
2017-09-05,0.6337083333333333,74.1,66.1,76.5,9.7,29.9,0.0
2017-09-06,0.9612083333333333,77.1,64.6,66.3,4.8,29.8,0.0
2017-09-07,2.0300416666666665,81.3,72.1,75.7,7.7,29.9,0.0
2017-09-08,0.5983333333333333,81.9,74.6,79.8,5.0,29.9,0.03
2017-09-09,0.9569583333333332,74.2,59.4,61.8,7.0,30.0,0.0
2017-09-10,1.1732500000000001,82.5,73.0,75.2,4.5,29.7,0.0
2017-09-11,0.422375,56.9,51.3,82.6,10.0,30.1,0.06
2017-09-12,0.4721666666666666,43.7,34.3,74.9,3.0,30.1,0.0
2017-09-13,0.7583333333333333,77.4,64.9,66.8,4.8,29.7,0.0
2017-09-14,1.002,79.2,68.2,71.3,7.1,29.8,0.0
2017-09-15,1.0669166666666667,79.3,70.4,76.1,6.3,29.8,0.0
2017-09-16,1.4075833333333334,78.5,70.8,79.8,4.1,29.9,0.0
2017-09-17,1.5817916666666667,80.4,71.9,77.1,4.1,29.9,0.0
2017-09-18,1.0692083333333333,79.7,75.0,86.2,4.9,29.9,0.0
2017-09-19,1.2003333333333333,82.0,74.2,78.9,5.7,29.8,0.42
2017-09-20,1.1977916666666666,83.7,75.3,76.3,7.1,29.8,0.0
2017-09-21,0.8856666666666667,79.1,74.1,84.8,7.3,29.8,0.48
2017-09-22,1.1693333333333333,78.5,72.3,83.2,4.3,29.8,0.02
2017-09-23,1.4495416666666667,79.7,72.1,79.0,6.0,29.8,0.0
2017-09-24,1.4349583333333333,79.0,72.0,81.1,6.8,29.8,0.0
2017-09-25,1.0781666666666667,80.0,72.2,78.5,7.7,29.7,0.01
2017-09-26,0.8678750000000001,80.0,71.8,77.8,5.1,29.8,0.0
2017-09-27,0.963,81.5,72.3,75.6,4.0,29.8,0.0
2017-09-28,0.9630000000000001,80.3,73.0,79.8,4.8,29.8,0.0
2017-09-29,1.1358333333333333,80.9,69.3,69.5,8.7,29.9,0.24
2017-09-30,1.16475,77.3,61.3,59.6,6.3,29.9,0.0
